fused_id,test_id,attribute,fused_value,test_value,is_match
metacritic_14340,metacritic_14340,releaseYear,2007-01-01,2007-01-01,True
metacritic_14340,metacritic_14340,series,The Sims,,False
metacritic_14340,metacritic_14340,userScore,4.6,7.1,False
metacritic_14340,metacritic_14340,globalSales,0.0,,False
metacritic_14340,metacritic_14340,publisher,Electronic Arts,Electronic Arts,True
metacritic_14340,metacritic_14340,eval_id,metacritic_14340,,False
metacritic_5286,metacritic_5286,_id,dbpedia_45453,,False
metacritic_5286,metacritic_5286,ESRB,E10+,E10+,True
metacritic_5286,metacritic_5286,criticScore,79.0,79,False
metacritic_5286,metacritic_5286,developer,Vicarious Visions,Vicarious Visions,True
metacritic_5286,metacritic_5286,id,dbpedia_45453,metacritic_5286,False
metacritic_5286,metacritic_5286,name,Skylanders: Swap Force,Skylanders: Swap Force,True
metacritic_5286,metacritic_5286,platform,PS4,PS4,True
metacritic_5286,metacritic_5286,releaseYear,2013-01-01,2013-01-01,True
metacritic_5286,metacritic_5286,series,Skylanders,,False
metacritic_5286,metacritic_5286,userScore,5.3,6.3,False
metacritic_5286,metacritic_5286,globalSales,0.0,,False
metacritic_5286,metacritic_5286,publisher,Activision,Activision,True
metacritic_5286,metacritic_5286,eval_id,metacritic_5286,,False
metacritic_8567,metacritic_8567,_id,dbpedia_54363,,False
metacritic_8567,metacritic_8567,ESRB,E,E,True
metacritic_8567,metacritic_8567,criticScore,75.0,75,False
metacritic_8567,metacritic_8567,developer,Codemasters,Codemasters,True
metacritic_8567,metacritic_8567,id,dbpedia_54363,metacritic_8567,False
metacritic_8567,metacritic_8567,name,GRID Autosport,GRID Autosport,True
metacritic_8567,metacritic_8567,platform,PS3,PS3,True
metacritic_8567,metacritic_8567,releaseYear,2014-01-01,2014-01-01,True
metacritic_8567,metacritic_8567,series,Grid (series),,False
metacritic_8567,metacritic_8567,userScore,6.6,6.6,True
metacritic_8567,metacritic_8567,globalSales,0.0,,False
metacritic_8567,metacritic_8567,publisher,Codemasters,Codemasters,True
metacritic_8567,metacritic_8567,eval_id,metacritic_8567,,False
metacritic_19234,metacritic_19234,_id,dbpedia_57362,,False
metacritic_19234,metacritic_19234,ESRB,E10+,E10+,True
metacritic_19234,metacritic_19234,criticScore,49.0,49,False
metacritic_19234,metacritic_19234,developer,Sanzaru Games,Sanzaru Games,True
metacritic_19234,metacritic_19234,id,dbpedia_57362,metacritic_19234,False
metacritic_19234,metacritic_19234,name,Ninja Reflex,Ninja Reflex,True
metacritic_19234,metacritic_19234,platform,Wii,Wii,True
metacritic_19234,metacritic_19234,releaseYear,2008-01-01,2008-01-01,True
metacritic_19234,metacritic_19234,userScore,5.7,4.2,False
metacritic_19234,metacritic_19234,globalSales,0.0,,False
metacritic_19234,metacritic_19234,publisher,Electronic Arts,Electronic Arts,True
metacritic_19234,metacritic_19234,eval_id,metacritic_19234,,False
metacritic_14164,metacritic_14164,_id,dbpedia_64698,,False
metacritic_14164,metacritic_14164,ESRB,E,E,True
metacritic_14164,metacritic_14164,criticScore,66.0,66,False
metacritic_14164,metacritic_14164,developer,Nintendo,Nintendo,True
metacritic_14164,metacritic_14164,id,dbpedia_64698,metacritic_14164,False
metacritic_14164,metacritic_14164,name,Animal Crossing: Happy Home Designer,Animal Crossing: Happy Home Designer,True
metacritic_14164,metacritic_14164,platform,3DS,3DS,True
metacritic_14164,metacritic_14164,releaseYear,2015-01-01,2015-01-01,True
metacritic_14164,metacritic_14164,series,Animal Crossing,,False
metacritic_14164,metacritic_14164,userScore,6.9,6.9,True
metacritic_14164,metacritic_14164,globalSales,3.0,,False
metacritic_14164,metacritic_14164,publisher,Nintendo,Nintendo,True
metacritic_14164,metacritic_14164,eval_id,metacritic_14164,,False
