Blocking Key Value,Frequency
CHINA ,5914
SUBWAY,5562
MCDONA,4335
PANDA ,3903
TACO B,3221
PIZZA ,3216
BURGER,3177
LITTLE,2298
WENDY ,2296
GOLDEN,2170
ASIAN ,2093
TAQUER,1843
CHICK ,1675
ARBY S,1642
SUSHI ,1613
DAIRY ,1429
DOMINO,1400
SONIC ,1316
CHIPOT,1276
RESTAU,1269
APPLEB,1193
OLIVE ,1156
PAPA J,1119
CHILI ,1094
KFC,1094
GREAT ,1058
DUNKIN,1042
TACOS ,1028
BUFFAL,1015
7 ELEV,1005
STARBU,975
HAPPY ,959
NOODLE,953
POPEYE,939
HONG K,912
DENNY ,909
TASTE ,899
JIMMY ,892
JACK I,890
FIVE G,837
TEXAS ,822
PANERA,819
LUCKY ,812
NEW CH,807
IHOP,784
RED LO,776
JERSEY,748
THE GR,726
CHICKE,718
PAPA M,694
DRAGON,671
THE CO,669
BLACK ,666
TOKYO ,656
WAFFLE,639
HARDEE,638
OUTBAC,600
PEKING,593
WALGRE,589
ORIENT,584
ROYAL ,579
HUNAN ,559
CRACKE,559
SAKURA,557
BAMBOO,551
CAPTAI,530
THE BU,529
THE CH,505
SUPER ,505
P F CH,504
IT S J,498
CULVER,496
SWEET ,494
GREEN ,491
THE CA,482
TERIYA,480
RED RO,473
QDOBA ,466
TROPIC,466
FIREHO,464
TASTY ,463
RISTOR,462
THE HA,457
HOUSE ,457
HIBACH,453
CHOPST,453
CHINES,450
THE BR,446
FIRST ,445
BANGKO,445
YUMMY ,442
LONGHO,430
THE LO,423
MARCO ,422
THE BI,421
VILLAG,415
THE BA,415
LONG J,413
MOD PI,411
SAIGON,405
GRAND ,390
THE RE,388
BISTRO,388
FRESH ,376
THE PA,372
JOHNNY,371
UNCLE ,367
THAI S,365
THE ST,364
PEI WE,361
WHATAB,359
MANDAR,350
THAI C,349
THE BO,347
CHURCH,345
SAM S ,345
THE MA,338
MOE S ,338
THE ME,337
THE PI,333
WINGST,332
THAI T,332
THE BL,327
BOB EV,324
TRATTO,323
SHANGH,322
RAISIN,318
CARL S,317
AMERIC,311
ISLAND,304
WHITE ,304
WINGS ,304
BELLA ,300
THE OR,299
MARISC,298
THE RO,296
TACO J,294
SILVER,292
OCEAN ,292
BJ S R,291
ZAXBY ,290
STEAK ,290
HY VEE,288
SOUTH ,288
ICHIBA,287
JOE S ,286
INDIAN,282
SOUTHE,281
THE PO,278
KING S,277
FAMOUS,277
MCALIS,271
SMOOTH,271
TGI FR,269
PERKIN,268
CORNER,268
