cluster_size,frequency,percentage
2,1860,82.59325044404974
3,234,10.390763765541742
4,79,3.507992895204263
5,29,1.2877442273534636
6,12,0.5328596802841918
7,10,0.4440497335701598
8,10,0.4440497335701598
9,5,0.2220248667850799
10,4,0.17761989342806395
11,2,0.08880994671403197
13,2,0.08880994671403197
14,2,0.08880994671403197
17,1,0.04440497335701599
19,1,0.04440497335701599
30,1,0.04440497335701599
