Blocking Key Value,Frequency
SUBWAY,143
LITTLE,127
TAQUER,118
MCDONA,108
BURGER,101
TACOS ,95
PIZZA ,90
TACO B,85
CHICK ,58
WAFFLE,57
TRATTO,55
OLIVE ,54
SONIC ,53
GOLDEN,50
WENDY ,47
CHINA ,46
DOMINO,46
RESTAU,46
ARBY S,45
PANDA ,43
POPEYE,42
CAPTAI,40
RISTOR,40
KFC,39
SUSHI ,39
JACK S,39
CHILI ,38
TEXAS ,38
DAIRY ,36
JACK I,34
THE CO,32
MARISC,31
THE GR,30
PAPA J,29
CHICKE,29
CRACKE,28
THE BR,28
SWEET ,27
IHOP,27
BLACK ,27
DENNY ,26
THE LO,26
THE CA,26
THE HA,25
OSTERI,25
THE CH,25
CHIPOT,25
THE BL,24
URBAN ,24
THE BU,24
ZAXBY ,24
FIRST ,24
HAPPY ,24
THE PA,23
THE ST,22
NOODLE,22
CANTIN,22
APPLEB,22
TASTE ,22
HARDEE,21
LUCKY ,21
SOUTHE,21
ISLAND,20
RED LO,20
THE RE,20
ROYAL ,20
HONG K,20
JIMMY ,19
THE BO,19
THE PO,19
THE BA,19
NORTH ,19
BISTRO,19
DUMPLI,19
THE HO,19
LA CAS,19
LONGHO,18
THE MA,18
AMERIC,18
BUFFAL,18
JOHNNY,18
CALIFO,17
SUPER ,17
THE TA,17
MARCO ,17
FREDDY,17
THE CR,17
JOE S ,17
UNCLE ,17
SOUTH ,17
BIRRIE,16
OUTBAC,16
BJ S R,16
OCEAN ,16
GRAND ,16
TROPIC,16
NEW CH,16
MOE S ,16
CHURCH,16
TASTY ,16
ASIAN ,15
IN N O,15
THE OR,15
LOCAL ,15
WHITE ,15
MAMA S,15
TOKYO ,15
SAIGON,14
PASTA ,14
TAVERN,14
KRISPY,14
ORIGIN,14
THE FR,14
HUDDLE,14
GREAT ,14
SPICE ,14
TONY S,14
HOUSE ,14
DRAGON,14
THE LI,13
THE MO,13
THE PI,13
FRESH ,13
ALASKA,13
LOUISI,13
THE LA,13
BAMBOO,13
THE ME,13
THE SO,13
SAKURA,13
THE PE,13
THE RO,13
THE SP,13
VILLAG,13
GREEN ,13
PAPA M,13
POSTIN,13
WINGST,13
BB Q C,12
SMOKIN,12
BANGKO,12
TORTAS,12
STREET,12
CULVER,12
THE MI,12
YUMMY ,12
LA CAB,12
BUBBA ,12
NEW YO,12
ORIENT,12
CAVA,12
CARL S,12
THAI T,11
MARKET,11
IT S J,11
EL RIN,11
CULINA,11
HAVANA,11
FIVE G,11
CHEDDA,11
HUNGRY,11
PITA J,11
MIKE S,11
CHICAG,11
SEAFOO,11
RAMEN ,11
PHILLY,11
JERSEY,11
EL PAT,11
COUNTR,11
THE DE,11
BANH M,10
HUNT B,10
SLIM C,10
BREAKF,10
COCINA,10
ROSA S,10
RED RO,10
CAFE L,10
LA PAR,10
CAFE M,10
BROOKL,10
NICK S,10
NANDO ,10
KING S,10
EL TAC,10
CACTUS,10
BIG DA,10
CAFE C,10
NEWK S,10
SEOUL ,10
FAMOUS,10
THE SH,10
THE RA,10
LAS PA,10
CRAFT ,10
THE NE,10
THE JU,10
LEGEND,10
THE HE,10
THE BI,10
LOTUS ,10
FLAME ,9
RAY S ,9
SIZZLE,9
BRICK ,9
CARIBB,9
ANTOJI,9
AREPA ,9
BARRIO,9
YARD H,9
ROCK N,9
MISSIO,9
THE DI,9
PICCOL,9
COLTON,9
BURRIT,9
MARGAR,9
MARIA ,9
THE OL,9
BOURBO,9
CHUBBY,9
SAM S ,9
WHATAB,9
LUCY S,9
LEE S ,9
CRAZY ,9
CORNER,9
BOBBY ,9
DAILY ,9
CURRY ,9
CAFE S,9
MEXICO,9
THE WA,9
VICTOR,9
PEPPER,9
P F CH,9
FIREHO,9
SMOKE ,9
SPICY ,9
HIBACH,9
BENIHA,9
HOT ST,9
SHAKE ,9
SIMPLY,9
MAGNOL,9
TERIYA,9
GARDEN,9
THE RI,9
ANNIE ,9
RAISIN,9
ITALIA,8
POLLOS,8
BROWN ,8
BROTHE,8
DAVE S,8
THE PR,8
WESTER,8
THE PU,8
SANDWI,8
CENTRA,8
FILIBE,8
HUNAN ,8
MAGIC ,8
WORLD ,8
RODEO ,8
FIESTA,8
ANOTHE,8
RINCON,8
THE SI,8
DIXIE ,8
THE HU,8
