id1,id2
metabooks_1818,goodreads_33893
metabooks_1858,goodreads_47956
metabooks_1858,goodreads_5594
metabooks_1864,goodreads_30117
metabooks_1864,goodreads_41336
metabooks_1879,goodreads_43620
metabooks_1879,goodreads_29833
metabooks_1901,goodreads_5579
metabooks_1901,goodreads_47668
metabooks_1922,goodreads_27488
metabooks_1922,goodreads_44605
metabooks_1940,goodreads_46747
metabooks_1940,goodreads_18231
metabooks_1946,goodreads_15489
metabooks_1946,goodreads_10125
metabooks_1951,goodreads_2671
metabooks_1951,goodreads_2701
metabooks_1990,goodreads_8082
metabooks_1990,goodreads_14855
metabooks_2013,goodreads_7057
metabooks_2013,goodreads_8012
metabooks_2024,goodreads_49885
metabooks_2024,goodreads_509
metabooks_2037,goodreads_773
metabooks_2037,goodreads_52
metabooks_2041,goodreads_46696
metabooks_2041,goodreads_35094
metabooks_2061,goodreads_49710
metabooks_2061,goodreads_17792
metabooks_2136,goodreads_3692
metabooks_2136,goodreads_17140
metabooks_2160,goodreads_25995
metabooks_2160,goodreads_16473
metabooks_2203,goodreads_34410
metabooks_2203,goodreads_3474
metabooks_2210,goodreads_45684
metabooks_2210,goodreads_45900
metabooks_2211,goodreads_8258
metabooks_2211,goodreads_3112
metabooks_2219,goodreads_6859
metabooks_2219,goodreads_16990
metabooks_2223,goodreads_23758
metabooks_2223,goodreads_40878
metabooks_2225,goodreads_17771
metabooks_2225,goodreads_10640
metabooks_2244,goodreads_20234
metabooks_2244,goodreads_43554
metabooks_2246,goodreads_1087
metabooks_2246,goodreads_23059
metabooks_2248,goodreads_1789
metabooks_2248,goodreads_11831
metabooks_2267,goodreads_3787
metabooks_2267,goodreads_6060
metabooks_2326,goodreads_14757
metabooks_2326,goodreads_725
metabooks_2404,goodreads_49881
metabooks_2404,goodreads_15585
metabooks_2413,goodreads_45678
metabooks_2413,goodreads_1695
metabooks_2439,goodreads_45085
metabooks_2439,goodreads_48365
metabooks_2446,goodreads_7673
metabooks_2446,goodreads_37801
metabooks_2449,goodreads_46017
metabooks_2449,goodreads_8882
metabooks_2450,goodreads_10687
metabooks_2450,goodreads_23666
metabooks_2478,goodreads_5385
metabooks_2478,goodreads_33373
metabooks_2494,goodreads_9112
metabooks_2494,goodreads_44271
metabooks_2510,goodreads_32779
metabooks_2510,goodreads_40938
metabooks_2520,goodreads_34879
metabooks_2520,goodreads_2243
metabooks_2535,goodreads_43583
metabooks_2535,goodreads_16210
metabooks_2544,goodreads_47668
