id,source,name,name_norm,map_url,phone_raw,phone_e164,address_line1,address_line2,street,house_number,city,state,postal_code,country,latitude,longitude,categories,rating,rating_count
yelp-05609,yelp,Bungalow Heights,bungalow heights,https://www.yelp.com/biz/bungalow-heights-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,18325827903.0,18325827903.0,1919 Beall St,,Beall St,1919,Houston,TX,77008,US,29.803054842498906,-95.41832842588938,[],3.3,254.0
yelp-05610,yelp,Aladdin Mediterranean Grill,aladdin mediterranean grill,https://www.yelp.com/biz/aladdin-mediterranean-grill-houston-3?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17136816257.0,17136816257.0,1737 W 34th St,,W 34th St,1737,Houston,TX,77018,US,29.8166847925393,-95.4307027906179,"['greek', 'mediterranean']",4.3,239.0
yelp-05611,yelp,Bartek Foods,bartek foods,https://www.yelp.com/biz/bartek-foods-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17135307513.0,17135307513.0,1307 Enid St,,Enid St,1307,Houston,TX,77009,US,29.80344116805305,-95.3758058177746,[],5.0,4.0
yelp-05612,yelp,Taqueria Mi Jalisco,taqueria mi jalisco,https://www.yelp.com/biz/taqueria-mi-jalisco-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,,,,,,,Houston,TX,77076,US,29.8643070892911,-95.3845024108887,[],3.3,30.0
yelp-05613,yelp,Sazon Catracho Restaurant,sazon catracho restaurant,https://www.yelp.com/biz/sazon-catracho-restaurant-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,13463751462.0,13463751462.0,2345 Aldine Mail Rte Rd,,Aldine Mail Rte Rd,2345,Houston,TX,77039,US,29.90279985994351,-95.34861890400131,[],0.0,0.0
yelp-05614,yelp,Mr Bills BBQ,mr bills bbq,https://www.yelp.com/biz/mr-bills-bbq-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,12817955556.0,12817955556.0,,,,,Houston,TX,77039,US,29.90926,-95.341175,[],0.0,0.0
yelp-05615,yelp,Fishman Seafood,fishman seafood,https://www.yelp.com/biz/fishman-seafood-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,12815907411.0,12815907411.0,11035 Homestead Rd,,Homestead Rd,11035,Houston,TX,77016,US,29.8771743774414,-95.3008880615234,['seafood'],4.0,28.0
yelp-05616,yelp,LuLoo's Day & Night,luloo s day night,https://www.yelp.com/biz/luloos-day-and-night-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,12816915680.0,12816915680.0,1223 W 34th St,,W 34th St,1223,Houston,TX,77018,US,29.81710612913974,-95.42184954414247,"['bbq', 'sandwiches']",3.9,52.0
yelp-05617,yelp,Chinese Wok,chinese wok,https://www.yelp.com/biz/chinese-wok-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,12819873825.0,12819873825.0,4050 Aldine Mail Rd,,Aldine Mail Rd,4050,Houston,TX,77039,US,29.9020881652832,-95.3328704833984,['chinese'],2.7,19.0
yelp-05618,yelp,Taqueria El Charro,taqueria el charro,https://www.yelp.com/biz/taqueria-el-charro-houston-10?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17136928303.0,17136928303.0,6810 N Shepherd,,N Shepherd,6810,Houston,TX,77246,US,29.861913,-95.4121851,['mexican'],4.3,23.0
yelp-05619,yelp,Chilanguitas,chilanguitas,https://www.yelp.com/biz/chilanguitas-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,12819408201.0,12819408201.0,6320 Airline Dr,,Airline Dr,6320,Houston,TX,77076,US,29.8573,-95.38439,['mexican'],5.0,1.0
