id1,id2,score,notes
kaggle380k-037152,yelp-27178,1.0,ml_classifier=SVC
kaggle380k-037155,yelp-22526,1.0,ml_classifier=SVC
kaggle380k-037159,yelp-23465,1.0,ml_classifier=SVC
kaggle380k-037166,yelp-23451,1.0,ml_classifier=SVC
kaggle380k-037167,yelp-27104,1.0,ml_classifier=SVC
kaggle380k-037168,yelp-06376,1.0,ml_classifier=SVC
kaggle380k-037182,yelp-22431,1.0,ml_classifier=SVC
kaggle380k-037185,yelp-23469,1.0,ml_classifier=SVC
kaggle380k-037190,yelp-22534,1.0,ml_classifier=SVC
kaggle380k-037196,yelp-22667,1.0,ml_classifier=SVC
kaggle380k-037196,yelp-27181,1.0,ml_classifier=SVC
kaggle380k-043719,yelp-23479,1.0,ml_classifier=SVC
kaggle380k-043720,yelp-23464,1.0,ml_classifier=SVC
kaggle380k-043721,yelp-06354,1.0,ml_classifier=SVC
kaggle380k-043722,yelp-23513,1.0,ml_classifier=SVC
kaggle380k-043723,yelp-23481,1.0,ml_classifier=SVC
kaggle380k-043724,yelp-23468,1.0,ml_classifier=SVC
kaggle380k-043725,yelp-22886,1.0,ml_classifier=SVC
kaggle380k-043725,yelp-27151,1.0,ml_classifier=SVC
kaggle380k-043727,yelp-23460,1.0,ml_classifier=SVC
kaggle380k-043728,yelp-27155,1.0,ml_classifier=SVC
kaggle380k-043730,yelp-06350,1.0,ml_classifier=SVC
kaggle380k-043732,yelp-23489,1.0,ml_classifier=SVC
kaggle380k-043736,yelp-27105,1.0,ml_classifier=SVC
kaggle380k-043738,yelp-27109,1.0,ml_classifier=SVC
kaggle380k-043740,yelp-27171,1.0,ml_classifier=SVC
kaggle380k-043741,yelp-27144,1.0,ml_classifier=SVC
kaggle380k-043743,yelp-27164,1.0,ml_classifier=SVC
kaggle380k-043745,yelp-23514,1.0,ml_classifier=SVC
kaggle380k-043749,yelp-22526,1.0,ml_classifier=SVC
kaggle380k-043754,yelp-06376,1.0,ml_classifier=SVC
kaggle380k-043759,yelp-22534,1.0,ml_classifier=SVC
kaggle380k-159038,yelp-27109,1.0,ml_classifier=SVC
kaggle380k-159041,yelp-27138,1.0,ml_classifier=SVC
kaggle380k-159047,yelp-23499,1.0,ml_classifier=SVC
kaggle380k-159051,yelp-27349,1.0,ml_classifier=SVC
kaggle380k-159054,yelp-27185,1.0,ml_classifier=SVC
kaggle380k-159058,yelp-23497,1.0,ml_classifier=SVC
kaggle380k-159058,yelp-23508,1.0,ml_classifier=SVC
kaggle380k-159061,yelp-22431,1.0,ml_classifier=SVC
kaggle380k-159063,yelp-27126,1.0,ml_classifier=SVC
kaggle380k-159064,yelp-23483,1.0,ml_classifier=SVC
kaggle380k-159065,yelp-27351,1.0,ml_classifier=SVC
kaggle380k-159068,yelp-22526,1.0,ml_classifier=SVC
kaggle380k-159072,yelp-27178,1.0,ml_classifier=SVC
kaggle380k-159076,yelp-23513,1.0,ml_classifier=SVC
kaggle380k-159080,yelp-23514,1.0,ml_classifier=SVC
kaggle380k-170768,yelp-27351,1.0,ml_classifier=SVC
kaggle380k-174073,yelp-27138,1.0,ml_classifier=SVC
kaggle380k-174719,yelp-27351,1.0,ml_classifier=SVC
kaggle380k-174720,yelp-27351,1.0,ml_classifier=SVC
kaggle380k-181735,yelp-23483,1.0,ml_classifier=SVC
kaggle380k-190665,yelp-22667,1.0,ml_classifier=SVC
kaggle380k-190665,yelp-27181,1.0,ml_classifier=SVC
kaggle380k-195974,yelp-06344,1.0,ml_classifier=SVC
kaggle380k-196414,yelp-22431,1.0,ml_classifier=SVC
kaggle380k-197323,yelp-27155,1.0,ml_classifier=SVC
kaggle380k-197908,yelp-23488,1.0,ml_classifier=SVC
kaggle380k-198555,yelp-27171,1.0,ml_classifier=SVC
kaggle380k-198947,yelp-27351,1.0,ml_classifier=SVC
kaggle380k-199230,yelp-27178,1.0,ml_classifier=SVC
kaggle380k-199459,yelp-27164,1.0,ml_classifier=SVC
kaggle380k-200331,yelp-27184,1.0,ml_classifier=SVC
kaggle380k-200507,yelp-22534,1.0,ml_classifier=SVC
kaggle380k-201933,yelp-23487,1.0,ml_classifier=SVC
kaggle380k-202962,yelp-23481,1.0,ml_classifier=SVC
kaggle380k-205447,yelp-27144,1.0,ml_classifier=SVC
kaggle380k-206843,yelp-23503,1.0,ml_classifier=SVC
kaggle380k-209000,yelp-06354,1.0,ml_classifier=SVC
kaggle380k-209559,yelp-23514,1.0,ml_classifier=SVC
kaggle380k-210419,yelp-27109,1.0,ml_classifier=SVC
kaggle380k-213688,yelp-23514,1.0,ml_classifier=SVC
kaggle380k-213992,yelp-22526,1.0,ml_classifier=SVC
kaggle380k-214521,yelp-23465,1.0,ml_classifier=SVC
kaggle380k-214980,yelp-23458,1.0,ml_classifier=SVC
kaggle380k-216377,yelp-23451,1.0,ml_classifier=SVC
kaggle380k-219109,yelp-27140,1.0,ml_classifier=SVC
kaggle380k-221395,yelp-23499,1.0,ml_classifier=SVC
kaggle380k-222500,yelp-22886,1.0,ml_classifier=SVC
kaggle380k-222500,yelp-27151,1.0,ml_classifier=SVC
kaggle380k-223308,yelp-23451,1.0,ml_classifier=SVC
kaggle380k-223899,yelp-06357,1.0,ml_classifier=SVC
kaggle380k-224639,yelp-22431,1.0,ml_classifier=SVC
kaggle380k-225162,yelp-23456,1.0,ml_classifier=SVC
kaggle380k-225525,yelp-23488,1.0,ml_classifier=SVC
kaggle380k-225787,yelp-22526,1.0,ml_classifier=SVC
